example_id                                                          | status  | run_time        |
./spec/controllers/admin/schools_controller_spec.rb[1:4:1:1]        | failed  | 0.00151 seconds |
./spec/controllers/admin/schools_controller_spec.rb[1:4:1:2]        | failed  | 0.00145 seconds |
./spec/controllers/admin/schools_controller_spec.rb[1:4:2:1]        | failed  | 0.00305 seconds |
./spec/controllers/admin/schools_controller_spec.rb[1:4:2:2]        | failed  | 0.00242 seconds |
./spec/controllers/admin/schools_controller_spec.rb[1:5:1:1]        | failed  | 0.00149 seconds |
./spec/controllers/admin/schools_controller_spec.rb[1:5:1:2]        | failed  | 0.00145 seconds |
./spec/controllers/admin/schools_controller_spec.rb[1:5:2:1]        | failed  | 0.00157 seconds |
./spec/controllers/admin/schools_controller_spec.rb[1:5:2:2]        | failed  | 0.00142 seconds |
./spec/controllers/admin/schools_controller_spec.rb[1:6:1:1]        | failed  | 0.00238 seconds |
./spec/controllers/admin/schools_controller_spec.rb[1:6:1:2]        | failed  | 0.00216 seconds |
./spec/controllers/admin/schools_controller_spec.rb[1:6:2:1]        | failed  | 0.0021 seconds  |
./spec/controllers/admin/schools_controller_spec.rb[1:6:2:2]        | failed  | 0.00231 seconds |
./spec/models/listing_spec.rb[1:1]                                  | pending | 0.00002 seconds |
./spec/models/neighborhood_spec.rb[1:1]                             | pending | 0.00001 seconds |
./spec/models/region_spec.rb[1:1]                                   | pending | 0.00001 seconds |
./spec/models/school_spec.rb[1:1]                                   | pending | 0.00001 seconds |
